AD User Scripts,AD User Transfer,\\<NETWORK PATH>\ADUser_Transfer.ps1,"Transfer AD User to new job, Department, etc. Copies AD information such as MemberOf, Manager, Dept, etc. from the user enter for parameter -UserCopyFrom. Will prompt running user (you) to verify the user you've entered before running through the main body of the script that performs the steps above. Parameter -KeepPermissions is not mandatory and defaults to $false automatically. If the user needs to keep their current permissions, set -KeepPermissions to $true *Departments : Accounting / Cashiers / Compliance / CustomerService / DefaultDepts / ExecAdmin / ExecTeam / Facilities / HECM / HR / Insurance / InvestorReporting / Origination / Shipping / Supervisors / TaxesPayoffs / Treasury / IT",
AD User Scripts,AD User Term - RUN AS DA,\\<NETWORK PATH>\TermADUser.ps1,"Term AD User Module will require Termed User param. After Termed User param is defined, script will prompt for DA Creds. New Powershell Window will open as DA to run script located at : \\<NETWORK PATH>\TermADUser.ps1 with Termed User param (arg). 1. Adds Termed_Users Group & sets as Primary Group. 2. Removes all Group Memberships, Telephone, ipPhone. 3. Adds Termed + Date in Description & sets Department to TERMED. 4. Scrambles their Password. 5. Moves user to Google Termed OU. Will prompt running user (you) to verify the user you've entered before running through the main body of the script that performs the steps above.",
AD User Scripts,AD New User & Copy MemberOf - RUN AS DA,\\<NETWORK PATH>\NewADUser_CopyMemberOf.ps1,"Create New AD User || Creates new AD User based on the parameter input from the running user (you) || Copies AD information such as Description, MemberOf, Manage, etc. from the entered user for parameter -CopyFromUser || 1. After entering parameter, you will be prompted for you DA credentials || 2. After entering your DA credentials, a new Powershell Window will open using these credentials & run the script located at \\<NETWORK PATH>\NewADUser_CopyMemberOf.ps1 with the parameters (arguments) entered for the New User || 3. The script checks DisplayName attribute against current AD users || 4. If the DisplayName already exists (Last name, First name) the script will prompt the running user and terminate || 5. Script will prompt running user if the SAMAccount, UniversalPrincipalName, and/or Email exists in AD *Prompts for a new value if any of the above already exist in AD || 6. Script will prompt user to verify the entered information before creating the new user || 7. Script will prompt user again to verify the information post creating the new user before continuing || 8. Script will copy AD info from -CopyFromUser. *Departments : Accounting / Cashiers / Compliance / CustomerService / DefaultDepts / ExecAdmin / ExecTeam / Facilities / HECM / HR / Insurance / InvestorReporting / Origination / Shipping / Supervisors / TaxesPayoffs / Treasury / IT / ServiceAccounts / Manual (to manually enter OU when prompted during script run) || *When prompted for Manual OU entry -- example : OU=Staff,DC=corp,DC=jbnutter,DC=com",
AD User Scripts,Create New P8 Sessions for User,\\<NETWORK PATH>\Create_New_P8Sessions.ps1,Powershell script to create new Power 8 Sessions for a user || Creates the Sessions Folder and Files in their My Documents || Places Shortcuts on their desktop || **IMPORTANT User must have logged into the target PC at least once,
AD User Scripts,Part 1 - Desktop Swap,\\<NETWORK PATH>\Part1_Desktop_Documents_Favorites.ps1,"Powershell script to copy a users Desktop, Documents, Downloads and Favorites from their Current PC to their Replacement PC || Places the folders in C:\temp on the Replacement PC.",
AD User Scripts,Part 2 - Desktop Swap,\\<NETWORK PATH>\Part2_Desktop_Documents_Favorites.ps1,"Part 2 || Powershell script moves the folders copied in Part 1 from C:\temp to the users Desktop, Documents, Downloads and Favorites folders on their replacement PC || **IMPORTANT User must have logged into their new/replacement PC before running this script",
AM PCs,Build Station Sheet,<NETWORK PATH>,Spreadsheet for tracking PCs & their status at the Build Station,
AM PCs,PC & User Inventory Sheet,<NETWORK PATH>,PC & User Inventory Spreadsheet,
AM PCs,SSD Deployment Sheet,<NETWORK PATH>,Spreadsheet for tracking PCs & users that have been deployed w/ SSDs,
AM Printers Scanners,Printer Scanners DB,\\<NETWORK PATH>\PrinterScanner_Assets_WRKnPROGRESS_V1.1.ps1,Printer & Scanner Database on XXXSQL called and managed through a Powershell GUI,
